Protein	dim1
362663.ECP_0387	1065
362663.ECP_1969	1066
362663.ECP_1911	1067
362663.ECP_1912	1068
362663.ECP_0298	1069
362663.ECP_2267	1070
362663.ECP_0913	1071
362663.ECP_2031	1072
362663.ECP_0576	1073
362663.ECP_2030	1074
362663.ECP_0601	1075
362663.ECP_3705	1076
362663.ECP_3704	1077
362663.ECP_0606	1078
362663.ECP_0603	1079
362663.ECP_0605	1080
362663.ECP_4682	1081
362663.ECP_0604	1082
362663.ECP_4120	1083
362663.ECP_0602	1084
362663.ECP_4634	1085
362663.ECP_2554	1086
362663.ECP_0630	1087
362663.ECP_4633	1088
362663.ECP_2996	1089
362663.ECP_4463	1090
362663.ECP_4681	1091
362663.ECP_2995	1092
362663.ECP_3453	1093
362663.ECP_2396	1094
362663.ECP_3490	1095
362663.ECP_0386	1096
362663.ECP_0388	1097
362663.ECP_2605	1098
362663.ECP_2604	1099
362663.ECP_3491	1100
362663.ECP_2606	1101
362663.ECP_2397	1102
362663.ECP_4680	1103
362663.ECP_4651	1104
362663.ECP_0631	1105
362663.ECP_2916	1106
362663.ECP_4649	1107
362663.ECP_4650	1108
362663.ECP_4654	1109
362663.ECP_4655	1110
362663.ECP_0299	1111
362663.ECP_2085	1112
362663.ECP_2084	1113
362663.ECP_4652	1114
362663.ECP_4653	1115
362663.ECP_2398	1116
362663.ECP_2083	1117
362663.ECP_2399	1118
362663.ECP_1017	1119
362663.ECP_3452	1120
362663.ECP_1086	1121
362663.ECP_3062	1122
362663.ECP_3061	1123
362663.ECP_0308	1124
362663.ECP_1678	1125
362663.ECP_1501	1126
362663.ECP_0959	1127
362663.ECP_1085	1128
362663.ECP_3060	1129
362663.ECP_1286	1130
362663.ECP_3824	1131
362663.ECP_3822	1132
362663.ECP_1018	1133
362663.ECP_1016	1134
362663.ECP_1502	1135
362663.ECP_3823	1136
362663.ECP_3014	1137
362663.ECP_1446	1138
362663.ECP_0662	1139
362663.ECP_3015	1140
362663.ECP_1445	1141
362663.ECP_1444	1142
362663.ECP_1443	1143
362663.ECP_1442	1144
362663.ECP_4697	1145
362663.ECP_0532	1146
362663.ECP_2442	1147
362663.ECP_1411	1148
362663.ECP_2144	1149
